Cognitive_Connectivity,Memory_Function,Sleep_Quality,Developmental_Stage,Anxiety_Level,Social_Isolation,Substance_Risk,Diet_Quality,Academic_Pressure,Family_History,Bullying_Exposure,Safety_Perception,Social_Monitoring,Physical_Activity,Risk_Label
0.6485000000000001,0.897,0.4,0.8823529411764706,0.4,0.8,0.2,0.8,1.0,0.0,0.9,0.8,0.0,0.75,1
0.795,0.5900000000000001,0.4,0.35294117647058826,0.26666666666666666,0.5,0.4,0.5,0.4,1.0,0.1,0.6,0.0,0.75,0
0.8515,0.7030000000000001,0.2,0.7647058823529411,0.26666666666666666,0.5,0.2,0.8,0.6,1.0,0.1,0.8,0.0,0.25,0
0.4795,0.5589999999999999,0.7,0.5882352941176471,0.5333333333333333,0.8,1.0,0.5,0.6,1.0,0.9,0.0,0.0,0.6666666666666667,1
0.7065,0.8130000000000001,0.4,0.4117647058823529,0.3333333333333333,0.7,0.2,0.5,0.8,0.0,0.9,0.8,0.0,0.9166666666666666,0
0.585,0.5700000000000001,0.2,0.6470588235294118,0.2,0.7,0.2,0.8,0.4,0.0,0.1,0.8,0.0,0.6666666666666667,0
0.877,0.954,0.7,0.7058823529411765,0.3333333333333333,0.6,0.4,0.8,0.6,0.0,0.1,0.6,0.0,0.9166666666666666,0
0.802,0.8039999999999999,0.2,0.7058823529411765,0.2,0.6,0.2,0.2,0.4,1.0,0.1,0.8,0.0,1.0,0
0.5894999999999999,0.9789999999999999,0.7,0.5882352941176471,0.4,0.9,0.6,0.5,0.6,0.0,0.9,0.4,0.0,0.0,1
0.7190000000000001,0.8380000000000001,0.2,0.7647058823529411,0.4666666666666667,0.7,1.0,0.5,0.4,0.0,0.9,0.0,0.0,0.8333333333333334,1
0.605,0.61,0.4,0.35294117647058826,0.26666666666666666,0.7,0.2,0.5,0.6,1.0,0.9,0.8,0.0,0.08333333333333337,1
0.7515000000000001,0.7030000000000001,0.2,0.8823529411764706,0.3333333333333333,0.6,0.4,0.8,0.6,1.0,0.9,0.6,0.0,0.16666666666666663,0
0.45199999999999996,0.704,0.2,0.5294117647058824,0.4,0.9,0.2,0.5,1.0,1.0,0.1,0.8,0.0,0.16666666666666663,1
0.8260000000000001,0.852,0.2,0.058823529411764705,0.26666666666666666,0.6,0.4,0.2,0.4,1.0,0.1,0.6,0.0,0.5,0
0.782,0.564,0.2,0.058823529411764705,0.6666666666666666,0.5,1.0,0.5,1.0,1.0,0.9,0.0,0.0,0.6666666666666667,1
0.729,0.858,0.9,0.6470588235294118,0.3333333333333333,0.7,0.4,0.5,0.6,1.0,0.9,0.6,0.0,0.16666666666666663,1
0.5255000000000001,0.651,0.2,0.4117647058823529,0.6666666666666666,0.8,1.0,0.2,1.0,1.0,0.9,0.0,0.0,0.8333333333333334,1
0.6625,0.725,0.4,0.11764705882352941,0.5333333333333333,0.7,0.6,0.8,1.0,0.0,0.9,0.4,0.0,0.16666666666666663,1
0.5915,0.783,0.7,0.058823529411764705,0.3333333333333333,0.8,0.6,0.2,0.4,0.0,0.1,0.4,0.0,0.5,0
0.7965,0.993,0.4,0.4117647058823529,0.4,0.7,0.6,0.5,0.6,1.0,0.1,0.4,0.0,0.33333333333333337,1
0.837,0.874,0.4,0.6470588235294118,0.26666666666666666,0.6,0.2,0.5,0.6,0.0,0.9,0.8,0.0,0.9166666666666666,0
0.6365000000000001,0.673,0.7,0.6470588235294118,0.26666666666666666,0.7,0.2,0.5,0.6,0.0,0.1,0.8,0.0,1.0,0
0.5785,0.557,0.9,0.4117647058823529,0.5333333333333333,0.7,1.0,0.2,0.6,0.0,0.9,0.0,0.0,0.16666666666666663,1
0.8295,0.859,0.7,0.29411764705882354,0.26666666666666666,0.6,0.6,0.8,0.2,0.0,0.1,0.4,0.0,0.08333333333333337,0
0.655,0.71,0.9,0.0,0.6,0.7,1.0,0.2,0.8,1.0,0.9,0.0,0.0,0.08333333333333337,1
0.929,0.858,0.7,0.11764705882352941,0.4666666666666667,0.5,0.4,0.5,1.0,1.0,0.1,0.6,0.0,0.8333333333333334,1
0.804,0.608,0.7,0.7647058823529411,0.3333333333333333,0.5,0.6,0.5,0.4,1.0,0.9,0.4,0.0,0.75,1
0.6625,0.725,0.9,0.4117647058823529,0.5333333333333333,0.7,1.0,0.2,0.6,0.0,0.9,0.0,0.0,0.16666666666666663,1
0.48700000000000004,0.5740000000000001,0.2,0.8823529411764706,0.5333333333333333,0.8,0.6,0.5,1.0,1.0,0.1,0.4,0.0,0.33333333333333337,0
0.7929999999999999,0.986,0.7,0.5882352941176471,0.3333333333333333,0.7,0.4,0.2,0.6,0.0,0.9,0.6,0.0,0.08333333333333337,1
0.835,0.67,0.2,0.0,0.5333333333333333,0.5,0.8,0.5,0.8,1.0,0.9,0.19999999999999996,0.0,0.5833333333333333,1
0.6105,0.621,0.4,0.0,0.26666666666666666,0.7,0.4,0.2,0.4,0.0,0.9,0.6,0.0,0.6666666666666667,1
0.4625,0.725,0.2,0.17647058823529413,0.2,0.9,0.4,0.8,0.2,0.0,0.9,0.6,0.0,0.41666666666666663,0
0.5934999999999999,0.587,0.7,0.7647058823529411,0.3333333333333333,0.7,0.8,0.8,0.2,1.0,0.1,0.19999999999999996,0.0,0.33333333333333337,0
0.702,0.8039999999999999,0.9,0.17647058823529413,0.26666666666666666,0.7,0.6,0.8,0.2,1.0,0.1,0.4,0.0,1.0,0
0.6185,0.637,0.7,0.4117647058823529,0.2,0.7,0.4,0.5,0.2,0.0,0.9,0.6,0.0,0.8333333333333334,0
0.686,0.9720000000000001,0.4,0.17647058823529413,0.6,0.8,0.8,0.5,1.0,1.0,0.9,0.19999999999999996,0.0,1.0,1
0.594,0.588,0.7,0.5882352941176471,0.4,0.7,0.2,0.2,1.0,1.0,0.9,0.8,0.0,0.25,0
0.678,0.9560000000000001,0.7,0.5882352941176471,0.26666666666666666,0.8,0.6,0.2,0.2,0.0,0.1,0.4,0.0,0.5,0
0.7255,0.651,0.7,0.4117647058823529,0.4666666666666667,0.6,0.8,0.2,0.6,0.0,0.9,0.19999999999999996,0.0,0.75,1
0.5495000000000001,0.6990000000000001,0.7,0.11764705882352941,0.5333333333333333,0.8,1.0,0.5,0.6,1.0,0.9,0.0,0.0,0.08333333333333337,1
0.7050000000000001,0.61,0.4,0.29411764705882354,0.2,0.6,0.2,0.2,0.4,1.0,0.9,0.8,0.0,0.16666666666666663,0
0.562,0.524,0.4,0.058823529411764705,0.13333333333333333,0.7,0.2,0.8,0.2,0.0,0.9,0.8,0.0,0.8333333333333334,0
0.5605,0.921,0.2,0.8823529411764706,0.6,0.9,1.0,0.2,0.8,1.0,0.9,0.0,0.0,0.16666666666666663,1
0.7925,0.7849999999999999,0.9,0.29411764705882354,0.4,0.6,1.0,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0
0.5965,0.993,0.7,0.23529411764705882,0.13333333333333333,0.9,0.2,0.2,0.2,0.0,0.1,0.8,0.0,0.16666666666666663,0
0.5475000000000001,0.6950000000000001,0.2,0.058823529411764705,0.3333333333333333,0.8,0.6,0.8,0.4,1.0,0.9,0.4,0.0,0.8333333333333334,0
0.593,0.5860000000000001,0.2,0.7058823529411765,0.3333333333333333,0.7,0.8,0.8,0.2,1.0,0.1,0.19999999999999996,0.0,0.9166666666666666,0
0.6519999999999999,0.704,0.2,0.17647058823529413,0.5333333333333333,0.7,1.0,0.2,0.6,1.0,0.1,0.0,0.0,0.9166666666666666,0
0.8495,0.6990000000000001,0.9,0.058823529411764705,0.6,0.5,0.8,0.8,1.0,1.0,0.9,0.19999999999999996,0.0,1.0,1
0.696,0.792,0.2,0.29411764705882354,0.4666666666666667,0.7,0.8,0.5,0.6,1.0,0.1,0.19999999999999996,0.0,0.16666666666666663,0
0.583,0.966,0.7,0.29411764705882354,0.6666666666666666,0.9,1.0,0.8,1.0,1.0,0.9,0.0,0.0,0.0,1
0.785,0.5700000000000001,0.4,0.0,0.4666666666666667,0.5,0.8,0.2,0.6,0.0,0.9,0.19999999999999996,0.0,0.08333333333333337,1
0.5469999999999999,0.8939999999999999,0.7,0.5882352941176471,0.3333333333333333,0.9,0.2,0.2,0.8,1.0,0.9,0.8,0.0,0.0,1
0.702,0.8039999999999999,0.4,0.35294117647058826,0.2,0.7,0.2,0.2,0.4,0.0,0.1,0.8,0.0,0.33333333333333337,0
0.5855,0.9710000000000001,0.9,0.8823529411764706,0.2,0.9,0.4,0.8,0.2,0.0,0.9,0.6,0.0,0.5833333333333333,0
0.602,0.8039999999999999,0.4,0.11764705882352941,0.4,0.8,0.6,0.5,0.6,0.0,0.9,0.4,0.0,0.41666666666666663,1
